account_id,name,specialty,region,status,rep_id,lat,lon,value_band,created_at,updated_at
A001,安康診所,家醫科,台北,active,L100,25.04214,121.5342,high,2025-01-02,2026-08-24
A002,康泰診所,內科,台北,active,L100,25.05551,121.59362,medium,2025-01-02,2026-08-24
A003,順心診所,小兒科,台北,active,L100,,,medium,2025-01-02,2026-08-24
A004,杏語診所,皮膚科,台北,active,L100,25.05938,121.58873,low,2025-01-02,2026-08-24
A005,海碩診所,耳鼻喉科,台北,active,L100,25.03498,121.59922,high,2025-01-02,2026-08-24
A006,文心診所,婦產科,台北,active,L100,25.04703,121.53962,medium,2025-01-02,2026-08-24
A007,福祐診所,家醫科,台北,active,L100,25.02745,121.54497,medium,2025-01-02,2026-08-24
A008,仁心診所,內科,台北,active,L100,25.06968,121.56076,medium,2025-01-02,2026-08-24
A009,康寧診所,小兒科,台北,active,L100,25.02015,121.55484,medium,2025-01-02,2026-08-24
A010,好日診所,皮膚科,台北,active,L100,25.04897,121.57636,medium,2025-01-02,2026-08-24
R101_A001,新北第1診所,小兒科,新北,active,L101,24.99217,121.48232,medium,2025-04-12,2026-08-20
R101_A002,新北第2診所,家醫科,新北,active,L101,25.04595,121.41231,low,2025-04-12,2026-08-08
R101_A003,新北第3診所,皮膚科,新北,active,L101,25.00762,121.4765,high,2025-04-12,2026-08-24
R101_A004,新北第4診所,小兒科,新北,active,L101,24.97349,121.42312,low,2025-04-12,2026-08-14
R101_A005,新北第5診所,婦產科,新北,active,L101,25.06495,121.45562,high,2025-04-12,2026-08-03
R101_A006,新北第6診所,家醫科,新北,active,L101,25.0768,121.55022,low,2025-04-12,2026-08-08
R101_A007,新北第7診所,小兒科,新北,active,L101,25.06994,121.46671,high,2025-04-12,2026-07-29
R101_A008,新北第8診所,家醫科,新北,active,L101,25.01334,121.47137,medium,2025-04-12,2026-08-02
R101_A009,新北第9診所,家醫科,新北,active,L101,24.98369,121.43596,low,2025-04-12,2026-08-15
R102_A001,桃園第1診所,耳鼻喉科,桃園,active,L102,24.97772,121.27469,medium,2025-04-12,2026-07-30
R102_A002,桃園第2診所,小兒科,桃園,active,L102,24.98232,121.29699,high,2025-04-12,2026-08-24
R102_A003,桃園第3診所,皮膚科,桃園,active,L102,24.96023,121.33673,high,2025-04-12,2026-07-29
R102_A004,桃園第4診所,婦產科,桃園,active,L102,25.04542,121.25498,medium,2025-04-12,2026-08-15
R102_A005,桃園第5診所,內科,桃園,active,L102,24.98788,121.33614,high,2025-04-12,2026-08-06
R102_A006,桃園第6診所,耳鼻喉科,桃園,active,L102,24.92486,121.31013,low,2025-04-12,2026-08-01
R102_A007,桃園第7診所,內科,桃園,active,L102,25.0051,121.33099,medium,2025-04-12,2026-08-03
R102_A008,桃園第8診所,家醫科,桃園,active,L102,24.98745,121.24089,medium,2025-04-12,2026-08-05
R102_A009,桃園第9診所,婦產科,桃園,active,L102,25.01466,121.30515,high,2025-04-12,2026-07-29
