order_id,account_id,rep_id,order_date,product_line,quantity,amount,status
O_A001_1,A001,R100,2026-03-03,處方藥,10,42000,completed
O_A001_2,A001,R100,2026-03-28,處方藥,10,42000,completed
O_A001_3,A001,R100,2026-04-22,處方藥,10,42000,completed
O_A001_4,A001,R100,2026-05-17,處方藥,10,42000,completed
O_A001_5,A001,R100,2026-06-11,處方藥,10,42000,completed
O_A001_6,A001,R100,2026-07-06,處方藥,10,42000,completed
O_A001_old1,A001,R100,2025-10-29,OTC,10,9000,completed
O_A001_old2,A001,R100,2025-10-09,營養補充品,10,9000,completed
O_A002_1,A002,R100,2026-02-28,OTC,10,18000,completed
O_A002_2,A002,R100,2026-03-22,處方藥,10,18000,completed
O_A002_3,A002,R100,2026-04-13,營養補充品,10,18000,completed
O_A002_4,A002,R100,2026-05-05,醫療器材,10,18000,completed
O_A002_5,A002,R100,2026-05-27,個人護理,10,18000,completed
O_A002_6,A002,R100,2026-06-18,個人護理,10,18000,completed
O_A002_7,A002,R100,2026-07-10,個人護理,10,18000,completed
O_A003_1,A003,R100,2026-07-24,OTC,10,15000,completed
O_A003_2,A003,R100,2026-06-24,OTC,10,15000,completed
O_A003_3,A003,R100,2026-05-25,OTC,10,15000,completed
O_A003_4,A003,R100,2026-04-25,OTC,10,15000,completed
O_A003_5,A003,R100,2026-03-26,OTC,10,15000,completed
O_A003_6,A003,R100,2026-02-24,OTC,10,15000,completed
O_A004_1,A004,R100,2026-03-28,個人護理,10,8000,completed
O_A004_2,A004,R100,2026-06-16,個人護理,10,9000,completed
O_A005_1,A005,R100,2026-02-26,處方藥,10,35000,completed
O_A005_2,A005,R100,2026-03-18,處方藥,10,35000,completed
O_A005_3,A005,R100,2026-04-07,處方藥,10,35000,completed
O_A005_4,A005,R100,2026-04-27,處方藥,10,35000,completed
O_A005_5,A005,R100,2026-05-17,處方藥,10,35000,completed
O_A006_1,A006,R100,2026-03-08,營養補充品,10,12000,completed
O_A006_2,A006,R100,2026-03-28,OTC,10,12000,completed
O_A006_3,A006,R100,2026-04-17,營養補充品,10,12000,completed
O_A006_4,A006,R100,2026-05-07,營養補充品,10,12000,completed
O_A006_5,A006,R100,2026-05-27,OTC,10,12000,completed
O_A006_6,A006,R100,2026-06-16,營養補充品,10,12000,completed
O_A006_7,A006,R100,2026-07-06,營養補充品,10,12000,completed
O_A006_8,A006,R100,2026-07-26,OTC,10,12000,completed
O_A007_1,A007,R100,2026-08-15,營養補充品,10,14000,completed
O_A007_2,A007,R100,2026-07-28,個人護理,10,14000,completed
O_A007_3,A007,R100,2026-07-10,OTC,10,14000,completed
O_A007_4,A007,R100,2026-06-22,營養補充品,10,14000,completed
O_A007_5,A007,R100,2026-06-04,個人護理,10,14000,completed
O_A007_6,A007,R100,2026-05-17,OTC,10,14000,completed
O_A008_1,A008,R100,2026-08-15,營養補充品,10,14000,completed
O_A008_2,A008,R100,2026-07-28,個人護理,10,14000,completed
O_A008_3,A008,R100,2026-07-10,OTC,10,14000,completed
