customer_id,rep_id,order_date,product_line,amount,gross_margin_pct,is_self_pay
C1000,R113,2025-04-11,處方藥,16349.0,0.32,1
C1000,R113,2025-05-17,營養補充品,12474.0,0.216,0
C1000,R113,2025-09-25,處方藥,13056.0,0.229,0
C1000,R113,2025-11-06,醫療器材,17022.0,0.29,0
C1000,R113,2026-01-26,處方藥,14361.0,0.388,0
C1001,R108,2025-06-09,OTC,96902.0,0.157,0
C1001,R108,2025-08-03,處方藥,54691.0,0.38,0
C1001,R108,2025-10-13,醫療器材,59310.0,0.304,1
C1001,R108,2026-02-17,處方藥,71705.0,0.346,0
C1001,R108,2026-04-07,營養補充品,74127.0,0.166,0
C1001,R108,2026-07-02,OTC,56829.0,0.242,0
C1002,R107,2025-05-03,個人護理,11761.0,0.183,0
C1002,R107,2026-07-12,醫療器材,13938.0,0.294,0
C1003,R107,2025-02-12,OTC,17657.0,0.246,0
C1003,R107,2025-04-30,個人護理,22969.0,0.405,0
C1003,R107,2025-06-26,營養補充品,12491.0,0.192,0
C1003,R107,2025-07-21,醫療器材,25668.0,0.257,1
C1003,R107,2025-08-06,營養補充品,23570.0,0.225,0
C1003,R107,2025-11-08,個人護理,21246.0,0.259,0
C1003,R107,2026-03-09,營養補充品,15714.0,0.443,0
C1003,R107,2026-06-15,OTC,15939.0,0.247,1
C1004,R107,2025-02-14,個人護理,122654.0,0.166,1
C1004,R107,2025-04-04,個人護理,126175.0,0.215,1
C1004,R107,2025-05-04,營養補充品,144409.0,0.175,0
C1004,R107,2025-05-30,營養補充品,193877.0,0.371,0
C1004,R107,2026-01-01,營養補充品,148029.0,0.43,0
C1004,R107,2026-01-15,處方藥,147350.0,0.175,1
C1004,R107,2026-02-15,營養補充品,146124.0,0.369,0
C1004,R107,2026-04-24,醫療器材,148985.0,0.25,0
C1004,R107,2026-07-27,OTC,169861.0,0.383,0
C1005,R100,2025-03-25,OTC,97006.0,0.306,0
C1005,R100,2025-04-25,OTC,94012.0,0.408,0
C1005,R100,2025-06-21,OTC,45175.0,0.417,0
C1005,R100,2025-08-15,處方藥,86213.0,0.375,0
C1005,R100,2025-09-19,醫療器材,44799.0,0.365,1
C1005,R100,2026-02-02,個人護理,82206.0,0.338,1
C1005,R100,2026-04-05,個人護理,61498.0,0.152,0
C1005,R100,2026-06-24,個人護理,74476.0,0.361,0
C1005,R100,2026-07-16,個人護理,52740.0,0.296,0
C1006,R106,2025-02-12,營養補充品,38835.0,0.379,1
C1006,R106,2025-07-11,醫療器材,28840.0,0.241,1
C1006,R106,2025-12-02,處方藥,47230.0,0.357,0
C1006,R106,2025-12-08,營養補充品,33185.0,0.334,0
C1006,R106,2026-04-01,處方藥,41887.0,0.203,1
C1006,R106,2026-05-12,OTC,37368.0,0.327,0
C1006,R106,2026-06-20,個人護理,27933.0,0.164,1
C1007,R110,2025-05-15,醫療器材,27911.0,0.439,0
C1007,R110,2025-06-19,醫療器材,47910.0,0.151,1
C1007,R110,2025-07-20,處方藥,35647.0,0.346,0
C1007,R110,2025-08-27,營養補充品,26179.0,0.331,0
C1007,R110,2025-10-30,醫療器材,27683.0,0.398,0
